SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+59s,4.096,8,10,protocol,7.5,90,283,3.14444,20,20,1,1,0.544118,0.411111,0.284615,0.228395,0.194737,0.194737,0.194737,0.194737,0.473586,10
+60s,4.096,8,10,protocol,7.5,90,296,3.28889,20,20,1,1,0.506329,0.40404,0.3125,0.266667,0.210526,0.210526,0.210526,0.210526,0.471399,10
+61s,4.096,8,10,protocol,7.5,90,314,3.48889,20,20,1,0.942308,0.65,0.472727,0.433333,0.353741,0.290503,0.290503,0.290503,0.290503,0.475689,10
+62s,4.096,8,10,protocol,7.5,90,329,3.65556,20,20,1,0.928571,0.70625,0.565,0.470833,0.403571,0.332353,0.332353,0.332353,0.332353,0.472924,10
+63s,4.096,8,10,protocol,7.5,90,325,3.61111,20,20,1,0.988636,0.58046,0.505,0.420833,0.341216,0.295322,0.295322,0.295322,0.295322,0.470576,10
+64s,4.096,8,10,protocol,7.5,130,682,5.24615,66,66,1,0.971963,0.703911,0.63,0.545455,0.466667,0.381818,0.381818,0.381818,0.381818,0.467316,10
+65s,4.096,8,10,protocol,7.5,130,736,5.66154,88,88,1,0.943182,0.768786,0.665,0.554167,0.492593,0.415625,0.415625,0.415625,0.415625,0.464721,10
+66s,4.096,8,10,protocol,7.5,130,762,5.86154,102,93,0.911765,0.908451,0.808989,0.72,0.6,0.512456,0.43769,0.43769,0.43769,0.43769,0.461322,10
+67s,4.096,8,10,protocol,7.5,130,864,6.64615,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.458061,10
+68s,4.096,8,10,protocol,7.5,130,864,6.64615,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.454775,10
+69s,4.096,8,10,protocol,7.5,130,807,6.20769,192,190,0.989583,0.976471,0.976471,0.790476,0.656126,0.51875,0.50303,0.50303,0.50303,0.50303,0.451748,10
+70s,3.072,6,10,protocol,7.5,130,821,6.31538,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.448894,10
+71s,2.048,4,10,protocol,7.5,130,738,5.67692,119,115,0.966387,0.955128,0.908824,0.739234,0.530928,0.482812,0.468182,0.468182,0.468182,0.468182,0.446483,10
+72s,2.048,4,10,protocol,7.5,130,689,5.3,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.444054,10
+73s,2.048,4,10,protocol,7.5,130,569,4.37692,98,95,0.969388,0.945833,0.817073,0.609091,0.462069,0.432258,0.409786,0.409786,0.409786,0.409786,0.441921,10
+74s,2.048,4,10,protocol,7.5,130,543,4.17692,80,79,0.9875,0.970588,0.819876,0.608295,0.464789,0.425806,0.39521,0.39521,0.39521,0.39521,0.439672,10
+75s,2.048,4,10,protocol,7.5,130,536,4.12308,74,74,1,0.966981,0.755882,0.611905,0.46223,0.414516,0.369253,0.369253,0.369253,0.369253,0.437756,10
+76s,4.096,8,10,protocol,7.5,130,517,3.97692,70,70,1,0.962963,0.778125,0.595694,0.478846,0.400322,0.349719,0.349719,0.349719,0.349719,0.444106,10
+77s,4.096,8,10,protocol,7.5,130,484,3.72308,80,80,1,0.95614,0.809211,0.585714,0.49004,0.389241,0.332432,0.332432,0.332432,0.332432,0.442283,10
+78s,2.048,4,10,protocol,7.5,130,498,3.83077,80,78,0.975,0.966346,0.809859,0.547619,0.5,0.360502,0.286783,0.286783,0.286783,0.286783,0.441883,10
+79s,2.048,4,10,protocol,7.5,130,473,3.63846,94,91,0.968085,0.97,0.761589,0.547619,0.506608,0.365079,0.27381,0.27381,0.27381,0.27381,0.441835,10
+80s,2.048,4,10,protocol,7.5,130,489,3.76154,84,84,1,0.989247,0.653125,0.497619,0.464444,0.34375,0.23536,0.23536,0.23536,0.23536,0.442966,10
+81s,2.048,4,10,protocol,7.5,130,475,3.65385,80,80,1,0.977778,0.653125,0.514778,0.444681,0.318598,0.224731,0.224731,0.224731,0.224731,0.443066,10
+82s,2.048,4,10,protocol,7.5,130,480,3.69231,83,82,0.987952,0.977011,0.625,0.52356,0.4,0.296736,0.209644,0.209644,0.209644,0.209644,0.442716,10
+83s,2.048,4,10,protocol,7.5,130,473,3.63846,68,67,0.985294,0.938889,0.646853,0.486842,0.37,0.253425,0.196809,0.196809,0.196809,0.196809,0.442252,10
+84s,2.048,4,10,protocol,7.5,130,443,3.40769,60,60,1,0.897849,0.692607,0.436275,0.33271,0.228205,0.190171,0.190171,0.190171,0.190171,0.441984,10
+85s,2.048,4,10,protocol,7.5,140,532,3.8,60,60,1,0.97093,0.8125,0.423913,0.342105,0.230496,0.198777,0.198777,0.198777,0.198777,0.441519,10
+86s,2.048,4,10,protocol,7.5,140,481,3.43571,68,68,1,0.96875,0.716102,0.384091,0.279801,0.196512,0.177521,0.177521,0.177521,0.177521,0.440968,10
+87s,2.048,4,10,protocol,7.5,140,474,3.38571,96,96,1,0.9625,0.663793,0.351598,0.223837,0.17907,0.16383,0.16383,0.16383,0.16383,0.4403,10
+88s,2.048,4,10,protocol,7.5,140,476,3.4,100,100,1,0.96875,0.603846,0.355204,0.221127,0.178409,0.168455,0.168455,0.168455,0.168455,0.439656,10
