SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+31s,6.144,12,10,protocol,7.5,60,0,0,76,0,0,0,0,0,0,0,0,0,0,0,37521.8,10
+32s,6.144,12,10,protocol,7.5,60,0,0,100,0,0,0,0,0,0,0,0,0,0,0,36895,10
+33s,6.144,12,10,protocol,7.5,70,0,0,118,0,0,0,0,0,0,0,0,0,0,0,36067,10
+34s,6.144,12,10,protocol,7.5,70,0,0,102,0,0,0,0,0,0,0,0,0,0,0,35465.2,10
+35s,6.144,12,10,protocol,7.5,70,0,0,76,0,0,0,0,0,0,0,0,0,0,0,34828.9,10
+36s,6.144,12,10,protocol,7.5,70,0,0,56,0,0,0,0,0,0,0,0,0,0,0,34051.2,10
+37s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,33435,10
+38s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32912.2,10
+39s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32410.3,10
+40s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31941.6,10
+41s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31486.3,10
+42s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31026.6,10
+43s,6.144,12,10,protocol,7.5,80,0,0,56,0,0,0,0,0,0,0,0,0,0,0,30459.7,10
+44s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,30045.3,10
+45s,6.144,12,10,protocol,7.5,80,0,0,36,0,0,0,0,0,0,0,0,0,0,0,29587.3,10
+46s,6.144,12,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,29037.4,10
+47s,6.144,12,10,protocol,7.5,80,0,0,28,0,0,0,0,0,0,0,0,0,0,0,28543.3,10
+48s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,28179,10
+49s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27810.3,10
+50s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27464.5,10
+51s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27127.1,10
+52s,4.608,9,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,25926.9,10
+53s,4.096,8,10,protocol,7.5,80,0,0,24,0,0,0,0,0,0,0,0,0,0,0,25695.9,10
+54s,4.096,8,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25498.1,10
+55s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25226,10
+56s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24965.4,10
+57s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24668.7,10
+58s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24486.3,10
+59s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24306.6,10
+60s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24116.5,10
+61s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23921.3,10
+62s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23696.8,10
+63s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23528.4,10
+64s,4.096,8,10,protocol,7.5,130,0,0,66,0,0,0,0,0,0,0,0,0,0,0,23004,10
+65s,4.096,8,10,protocol,7.5,130,0,0,88,0,0,0,0,0,0,0,0,0,0,0,22821.9,10
+66s,4.096,8,10,protocol,7.5,130,0,0,102,0,0,0,0,0,0,0,0,0,0,0,22447.6,10
+67s,4.096,8,10,protocol,7.5,130,0,0,152,0,0,0,0,0,0,0,0,0,0,0,22179.9,10
+68s,4.096,8,10,protocol,7.5,130,0,0,196,0,0,0,0,0,0,0,0,0,0,0,22021.4,10
+69s,4.096,8,10,protocol,7.5,130,0,0,192,0,0,0,0,0,0,0,0,0,0,0,21867.4,10
+70s,3.584,7,10,protocol,7.5,130,0,0,168,0,0,0,0,0,0,0,0,0,0,0,21282.1,10
+71s,4.096,8,10,protocol,7.5,130,0,0,119,0,0,0,0,0,0,0,0,0,0,0,21075.5,10
+72s,3.584,7,10,protocol,7.5,130,0,0,100,0,0,0,0,0,0,0,0,0,0,0,20791.3,10
+73s,2.048,4,10,protocol,7.5,130,0,0,98,0,0,0,0,0,0,0,0,0,0,0,20488.8,10
+74s,6.144,12,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,20009.4,10
+75s,4.096,8,10,protocol,7.5,130,0,0,74,0,0,0,0,0,0,0,0,0,0,0,19809.2,10
+76s,4.096,8,10,protocol,7.5,130,0,0,70,0,0,0,0,0,0,0,0,0,0,0,19489.3,10
+77s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,19256,10
+78s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,18801.1,10
+79s,4.096,8,10,protocol,7.5,130,0,0,94,0,0,0,0,0,0,0,0,0,0,0,18576.2,10
+80s,3.584,7,10,protocol,7.5,130,0,0,84,0,0,0,0,0,0,0,0,0,0,0,18105.9,10
+81s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,17902.9,10
+82s,3.584,7,10,protocol,7.5,130,0,0,83,0,0,0,0,0,0,0,0,0,0,0,17406.7,10
+83s,4.096,8,10,protocol,7.5,130,0,0,68,0,0,0,0,0,0,0,0,0,0,0,17218.9,10
+84s,4.096,8,10,protocol,7.5,130,0,0,60,0,0,0,0,0,0,0,0,0,0,0,17035.2,10
+85s,4.096,8,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,16604.4,10
+86s,2.56,5,10,protocol,7.5,140,0,0,68,0,0,0,0,0,0,0,0,0,0,0,16273.3,10
+87s,2.048,4,10,protocol,7.5,140,0,0,96,0,0,0,0,0,0,0,0,0,0,0,16164.4,10
+88s,2.048,4,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,16095.9,10
+89s,2.048,4,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,16036.6,10
+90s,2.048,4,10,protocol,7.5,140,0,0,86,0,0,0,0,0,0,0,0,0,0,0,15997.8,10
+91s,2.048,4,10,protocol,7.5,140,0,0,74,0,0,0,0,0,0,0,0,0,0,0,15949.9,10
+92s,2.048,4,10,protocol,7.5,140,0,0,58,0,0,0,0,0,0,0,0,0,0,0,15882.3,10
+93s,2.048,4,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,15844.2,10
+94s,2.048,4,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,15800.7,10
+95s,2.048,4,10,protocol,7.5,150,0,0,86,0,0,0,0,0,0,0,0,0,0,0,15660.4,10
+96s,2.048,4,10,protocol,7.5,150,0,0,110,0,0,0,0,0,0,0,0,0,0,0,14678,10
+97s,2.048,4,10,protocol,7.5,150,0,0,132,0,0,0,0,0,0,0,0,0,0,0,14533.8,10
+98s,2.048,4,10,protocol,7.5,150,0,0,124,0,0,0,0,0,0,0,0,0,0,0,14403.4,10
+99s,1.536,3,10,protocol,7.5,150,0,0,135,0,0,0,0,0,0,0,0,0,0,0,14167.4,10
+100s,1.536,3,10,protocol,7.5,150,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13909.8,10
+101s,2.048,4,10,protocol,7.5,150,0,0,140,0,0,0,0,0,0,0,0,0,0,0,13811.4,10
+102s,2.048,4,10,protocol,7.5,150,0,0,160,0,0,0,0,0,0,0,0,0,0,0,13713.7,10
+103s,2.048,4,10,protocol,7.5,150,0,0,164,0,0,0,0,0,0,0,0,0,0,0,13624.8,10
+104s,2.048,4,10,protocol,7.5,150,0,0,179,0,0,0,0,0,0,0,0,0,0,0,13533,10
+105s,2.048,4,10,protocol,7.5,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,13428.4,10
+106s,2.048,4,10,protocol,7.5,160,0,0,134,0,0,0,0,0,0,0,0,0,0,0,13326.6,10
+107s,2.048,4,10,protocol,7.5,160,0,0,127,0,0,0,0,0,0,0,0,0,0,0,13163.2,10
+108s,2.048,4,10,protocol,7.5,160,0,0,156,0,0,0,0,0,0,0,0,0,0,0,13042.7,10
+109s,2.048,4,10,protocol,7.5,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,12921.4,10
+110s,2.048,4,10,protocol,7.5,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,12842.4,10
+111s,1.536,3,10,protocol,7.5,160,0,0,156,0,0,0,0,0,0,0,0,0,0,0,12535.4,10
+112s,1.536,3,10,protocol,7.5,160,0,0,142,0,0,0,0,0,0,0,0,0,0,0,12270.4,10
+113s,2.048,4,10,protocol,7.5,160,0,0,186,0,0,0,0,0,0,0,0,0,0,0,12199.2,10
+114s,2.048,4,10,protocol,7.5,160,0,0,244,0,0,0,0,0,0,0,0,0,0,0,12128.8,10
+115s,0,0,10,protocol,7.5,160,0,0,314,0,0,0,0,0,0,0,0,0,0,0,11979.4,10
+116s,0,0,10,protocol,7.5,160,0,0,342,0,0,0,0,0,0,0,0,0,0,0,11950.7,10
+117s,0,0,10,protocol,7.5,160,0,0,358,0,0,0,0,0,0,0,0,0,0,0,11906.9,10
+118s,9.728,19,10,protocol,7.5,160,0,0,390,0,0,0,0,0,0,0,0,0,0,0,11679.3,10
+119s,2.048,4,10,protocol,7.5,160,0,0,404,0,0,0,0,0,0,0,0,0,0,0,11605.1,10
+120s,2.048,4,10,protocol,7.5,160,0,0,412,0,0,0,0,0,0,0,0,0,0,0,11584.7,10
+121s,2.048,4,10,protocol,7.5,160,0,0,372,0,0,0,0,0,0,0,0,0,0,0,11564.4,10
+122s,2.048,4,10,protocol,7.5,160,0,0,348,0,0,0,0,0,0,0,0,0,0,0,11527.2,10
+123s,2.048,4,10,protocol,7.5,160,0,0,318,0,0,0,0,0,0,0,0,0,0,0,11504.1,10
+124s,2.048,4,10,protocol,7.5,160,0,0,321,0,0,0,0,0,0,0,0,0,0,0,11484.1,10
+125s,2.048,4,10,protocol,7.5,160,0,0,288,0,0,0,0,0,0,0,0,0,0,0,11461.2,10
+126s,2.048,4,10,protocol,7.5,190,0,0,320,0,0,0,0,0,0,0,0,0,0,0,11354.2,10
+127s,2.048,4,10,protocol,7.5,200,0,0,312,0,0,0,0,0,0,0,0,0,0,0,11304.7,10
+128s,2.048,4,10,protocol,7.5,200,0,0,260,0,0,0,0,0,0,0,0,0,0,0,11264.9,10
+129s,2.048,4,10,protocol,7.5,200,0,0,222,0,0,0,0,0,0,0,0,0,0,0,11232.1,10
+130s,1.536,3,10,protocol,7.5,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,11055.8,10
+131s,2.048,4,10,protocol,7.5,200,0,0,192,0,0,0,0,0,0,0,0,0,0,0,11012.5,10
+132s,1.536,3,10,protocol,7.5,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,10932.8,10
+133s,1.536,3,10,protocol,7.5,200,0,0,196,0,0,0,0,0,0,0,0,0,0,0,10741.9,10
+134s,1.536,3,10,protocol,7.5,200,0,0,168,0,0,0,0,0,0,0,0,0,0,0,10604.1,10
+135s,8.704,17,10,protocol,7.5,200,0,0,150,0,0,0,0,0,0,0,0,0,0,0,10396.2,10
+136s,7.168,14,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,10178.8,10
+137s,4.096,8,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,10031.3,10
+138s,4.096,8,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,9923.66,10
+139s,4.096,8,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,9782.52,10
+140s,3.072,6,10,protocol,7.5,200,0,0,150,0,0,0,0,0,0,0,0,0,0,0,9590.65,10
+141s,2.048,4,10,protocol,7.5,200,0,0,164,0,0,0,0,0,0,0,0,0,0,0,9484.72,10
+142s,2.048,4,10,protocol,7.5,200,0,0,180,0,0,0,0,0,0,0,0,0,0,0,9443.81,10
+143s,2.048,4,10,protocol,7.5,200,0,0,210,0,0,0,0,0,0,0,0,0,0,0,9406.79,10
+144s,2.048,4,10,protocol,7.5,200,0,0,240,0,0,0,0,0,0,0,0,0,0,0,9357.48,10
+145s,2.048,4,10,protocol,7.5,200,0,0,254,0,0,0,0,0,0,0,0,0,0,0,9330.37,10
+146s,2.048,4,10,protocol,7.5,200,0,0,270,0,0,0,0,0,0,0,0,0,0,0,9299.96,10
+147s,2.048,4,10,protocol,7.5,210,0,0,322,0,0,0,0,0,0,0,0,0,0,0,9260.61,10
+148s,2.048,4,10,protocol,7.5,210,0,0,350,0,0,0,0,0,0,0,0,0,0,0,9224.53,10
+149s,2.048,4,10,protocol,7.5,210,0,0,348,0,0,0,0,0,0,0,0,0,0,0,9164.71,10
+150s,2.048,4,10,protocol,7.5,210,0,0,330,0,0,0,0,0,0,0,0,0,0,0,9129.53,10
+151s,2.048,4,10,protocol,7.5,210,0,0,320,0,0,0,0,0,0,0,0,0,0,0,9091.61,10
+152s,2.048,4,10,protocol,7.5,210,0,0,300,0,0,0,0,0,0,0,0,0,0,0,9039.2,10
+153s,2.048,4,10,protocol,7.5,210,0,0,298,0,0,0,0,0,0,0,0,0,0,0,9010.94,10
+154s,2.048,4,10,protocol,7.5,210,0,0,318,0,0,0,0,0,0,0,0,0,0,0,8985.8,10
+155s,2.048,4,10,protocol,7.5,210,0,0,322,0,0,0,0,0,0,0,0,0,0,0,8960.79,10
+156s,5.632,11,10,protocol,7.5,210,0,0,318,0,0,0,0,0,0,0,0,0,0,0,8667.21,10
+157s,4.096,8,10,protocol,7.5,220,0,0,268,0,0,0,0,0,0,0,0,0,0,0,8595.73,10
+158s,4.096,8,10,protocol,7.5,220,0,0,228,0,0,0,0,0,0,0,0,0,0,0,8543.69,10
+159s,4.096,8,10,protocol,7.5,220,0,0,220,0,0,0,0,0,0,0,0,0,0,0,8478.65,10
+160s,4.096,8,10,protocol,7.5,230,0,0,232,0,0,0,0,0,0,0,0,0,0,0,8415.04,10
+161s,4.096,8,10,protocol,7.5,230,0,0,264,0,0,0,0,0,0,0,0,0,0,0,8331.63,10
+162s,4.096,8,10,protocol,7.5,230,0,0,280,0,0,0,0,0,0,0,0,0,0,0,8267.97,10
+163s,4.096,8,10,protocol,7.5,230,0,0,292,0,0,0,0,0,0,0,0,0,0,0,8223.39,10
+164s,4.096,8,10,protocol,7.5,230,0,0,292,0,0,0,0,0,0,0,0,0,0,0,8180.47,10
+165s,4.096,8,10,protocol,7.5,230,0,0,270,0,0,0,0,0,0,0,0,0,0,0,8139.17,10
+166s,4.096,8,10,protocol,7.5,230,0,0,276,0,0,0,0,0,0,0,0,0,0,0,8049.31,10
+167s,4.096,8,10,protocol,7.5,230,0,0,300,0,0,0,0,0,0,0,0,0,0,0,7829.55,10
+168s,4.096,8,10,protocol,7.5,240,0,0,374,0,0,0,0,0,0,0,0,0,0,0,7764.63,10
+169s,3.072,6,10,protocol,7.5,240,0,0,400,0,0,0,0,0,0,0,0,0,0,0,7683.98,10
+170s,2.048,4,10,protocol,7.5,240,0,0,414,0,0,0,0,0,0,0,0,0,0,0,7482.46,10
+171s,4.096,8,10,protocol,7.5,240,0,0,444,0,0,0,0,0,0,0,0,0,0,0,7421.83,10
+172s,4.096,8,10,protocol,7.5,240,0,0,496,0,0,0,0,0,0,0,0,0,0,0,7381.15,10
+173s,4.096,8,10,protocol,7.5,240,0,0,518,0,0,0,0,0,0,0,0,0,0,0,7347.5,10
+174s,4.096,8,10,protocol,7.5,240,0,0,508,0,0,0,0,0,0,0,0,0,0,0,7308.12,10
+175s,4.096,8,10,protocol,7.5,240,0,0,468,0,0,0,0,0,0,0,0,0,0,0,7275.12,10
+176s,4.096,8,10,protocol,7.5,240,0,0,422,0,0,0,0,0,0,0,0,0,0,0,7242.42,10
+177s,4.096,8,10,protocol,7.5,240,0,0,374,0,0,0,0,0,0,0,0,0,0,0,7202.32,10
+178s,4.096,8,10,protocol,7.5,240,0,0,346,0,0,0,0,0,0,0,0,0,0,0,7163.71,10
+179s,4.096,8,10,protocol,7.5,240,0,0,316,0,0,0,0,0,0,0,0,0,0,0,7126.55,10
+180s,4.096,8,10,protocol,7.5,240,0,0,294,0,0,0,0,0,0,0,0,0,0,0,7092.49,10
+181s,4.096,8,10,protocol,7.5,240,0,0,314,0,0,0,0,0,0,0,0,0,0,0,7042.86,10
+182s,4.096,8,10,protocol,7.5,240,0,0,340,0,0,0,0,0,0,0,0,0,0,0,7002.69,10
+183s,4.096,8,10,protocol,7.5,240,0,0,356,0,0,0,0,0,0,0,0,0,0,0,6972.38,10
+184s,4.096,8,10,protocol,7.5,240,0,0,428,0,0,0,0,0,0,0,0,0,0,0,6938.83,10
+185s,4.096,8,10,protocol,7.5,240,0,0,440,0,0,0,0,0,0,0,0,0,0,0,6909.07,10
+186s,4.096,8,10,protocol,7.5,240,0,0,456,0,0,0,0,0,0,0,0,0,0,0,6879.57,10
+187s,4.096,8,10,protocol,7.5,250,0,0,508,0,0,0,0,0,0,0,0,0,0,0,6845.2,10
+188s,4.096,8,10,protocol,7.5,280,0,0,580,0,0,0,0,0,0,0,0,0,0,0,6796.78,10
+189s,2.56,5,10,protocol,7.5,280,0,0,578,0,0,0,0,0,0,0,0,0,0,0,6722.48,10
+190s,2.048,4,10,protocol,7.5,280,0,0,584,0,0,0,0,0,0,0,0,0,0,0,6645.73,10
+191s,2.048,4,10,protocol,7.5,280,0,0,516,0,0,0,0,0,0,0,0,0,0,0,6624.34,10
+192s,2.048,4,10,protocol,7.5,280,0,0,500,0,0,0,0,0,0,0,0,0,0,0,6499.21,10
+193s,2.048,4,10,protocol,7.5,280,0,0,476,0,0,0,0,0,0,0,0,0,0,0,6485.25,10
+194s,2.048,4,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,6475.06,10
+195s,2.048,4,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,6465.72,10
+196s,2.048,4,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,6456.25,10
+197s,2.048,4,10,protocol,7.5,280,0,0,448,0,0,0,0,0,0,0,0,0,0,0,6448.21,10
+198s,2.048,4,10,protocol,7.5,280,0,0,472,0,0,0,0,0,0,0,0,0,0,0,6428.21,10
+199s,2.048,4,10,protocol,7.5,280,0,0,484,0,0,0,0,0,0,0,0,0,0,0,6419.7,10
+200s,2.048,4,10,protocol,7.5,280,0,0,530,0,0,0,0,0,0,0,0,0,0,0,6402.6,10
+201s,2.048,4,10,protocol,7.5,280,0,0,568,0,0,0,0,0,0,0,0,0,0,0,6385.13,10
+202s,2.048,4,10,protocol,7.5,280,0,0,624,0,0,0,0,0,0,0,0,0,0,0,6356.05,10
+203s,2.048,4,10,protocol,7.5,280,0,0,640,0,0,0,0,0,0,0,0,0,0,0,6349.87,10
+204s,2.048,4,10,protocol,7.5,280,0,0,642,0,0,0,0,0,0,0,0,0,0,0,6340.81,10
+205s,2.048,4,10,protocol,7.5,280,0,0,682,0,0,0,0,0,0,0,0,0,0,0,6330.91,10
+206s,2.048,4,10,protocol,7.5,280,0,0,681,0,0,0,0,0,0,0,0,0,0,0,6324.78,10
+207s,2.048,4,10,protocol,7.5,280,0,0,672,0,0,0,0,0,0,0,0,0,0,0,6317.95,10
+208s,2.048,4,10,protocol,7.5,280,0,0,632,0,0,0,0,0,0,0,0,0,0,0,6309.05,10
+209s,2.048,4,10,protocol,7.5,290,0,0,646,0,0,0,0,0,0,0,0,0,0,0,6299.44,10
+210s,2.048,4,10,protocol,7.5,290,0,0,626,0,0,0,0,0,0,0,0,0,0,0,6288.26,10
+211s,2.048,4,10,protocol,7.5,290,0,0,640,0,0,0,0,0,0,0,0,0,0,0,6267.78,10
+212s,2.048,4,10,protocol,7.5,290,0,0,632,0,0,0,0,0,0,0,0,0,0,0,6242.95,10
+213s,2.048,4,10,protocol,7.5,290,0,0,654,0,0,0,0,0,0,0,0,0,0,0,6234.22,10
+214s,2.048,4,10,protocol,7.5,290,0,0,624,0,0,0,0,0,0,0,0,0,0,0,6224.76,10
+215s,2.048,4,10,protocol,7.5,290,0,0,618,0,0,0,0,0,0,0,0,0,0,0,6217.27,10
+216s,2.048,4,10,protocol,7.5,300,0,0,656,0,0,0,0,0,0,0,0,0,0,0,6203.51,10
+217s,2.048,4,10,protocol,7.5,300,0,0,660,0,0,0,0,0,0,0,0,0,0,0,6196.22,10
+218s,2.048,4,10,protocol,7.5,300,0,0,650,0,0,0,0,0,0,0,0,0,0,0,6187.9,10
+219s,2.048,4,10,protocol,7.5,300,0,0,628,0,0,0,0,0,0,0,0,0,0,0,6177.19,10
+220s,2.048,4,10,protocol,7.5,300,0,0,580,0,0,0,0,0,0,0,0,0,0,0,6167.89,10
+221s,2.56,5,10,protocol,7.5,300,0,0,534,0,0,0,0,0,0,0,0,0,0,0,6145.57,10
+222s,12.8,25,10,protocol,7.5,300,0,0,504,0,0,0,0,0,0,0,0,0,0,0,6091.1,10
+223s,4.096,8,10,protocol,7.5,300,0,0,500,0,0,0,0,0,0,0,0,0,0,0,6073,10
+224s,4.096,8,10,protocol,7.5,300,0,0,500,0,0,0,0,0,0,0,0,0,0,0,6054.83,10
+225s,4.096,8,10,protocol,7.5,300,0,0,500,0,0,0,0,0,0,0,0,0,0,0,6041.34,10
+226s,4.096,8,10,protocol,7.5,300,0,0,548,0,0,0,0,0,0,0,0,0,0,0,6028.92,10
+227s,4.096,8,10,protocol,7.5,300,0,0,542,0,0,0,0,0,0,0,0,0,0,0,6017.22,10
+228s,4.096,8,10,protocol,7.5,300,0,0,570,0,0,0,0,0,0,0,0,0,0,0,6004.76,10
+229s,4.096,8,10,protocol,7.5,300,0,0,580,0,0,0,0,0,0,0,0,0,0,0,5989.21,10
+230s,4.096,8,10,protocol,7.5,300,0,0,564,0,0,0,0,0,0,0,0,0,0,0,5974.44,10
+231s,4.096,8,10,protocol,7.5,300,0,0,580,0,0,0,0,0,0,0,0,0,0,0,5954.34,10
+232s,4.096,8,10,protocol,7.5,300,0,0,580,0,0,0,0,0,0,0,0,0,0,0,5933.2,10
+233s,4.096,8,10,protocol,7.5,300,0,0,572,0,0,0,0,0,0,0,0,0,0,0,5918.73,10
+234s,4.096,8,10,protocol,7.5,300,0,0,587,0,0,0,0,0,0,0,0,0,0,0,5903,10
+235s,4.096,8,10,protocol,7.5,300,0,0,540,0,0,0,0,0,0,0,0,0,0,0,5889.29,10
+236s,7.168,14,10,protocol,7.5,300,0,0,542,0,0,0,0,0,0,0,0,0,0,0,5866.37,10
+237s,12.8,25,10,protocol,7.5,300,0,0,588,0,0,0,0,0,0,0,0,0,0,0,5833.35,10
+238s,6.144,12,10,protocol,7.5,300,0,0,610,0,0,0,0,0,0,0,0,0,0,0,5816.52,10
