SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPdr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+164s,4.096,8,10,protocol,7.5,230,772,3.35652,292,288,0.986301,0.954183,0.622642,0.469937,0.377863,0.316631,0.25692,0.25692,0.25692,0.25692,0.342245
+165s,4.096,8,10,protocol,7.5,230,788,3.42609,270,264,0.977778,0.942804,0.66087,0.48254,0.371638,0.313402,0.259607,0.259607,0.259607,0.259607,0.341843
+166s,4.096,8,10,protocol,7.5,230,758,3.29565,276,274,0.992754,0.928044,0.636659,0.478793,0.361899,0.297065,0.253345,0.253345,0.253345,0.253345,0.341327
+167s,4.096,8,10,protocol,7.5,230,737,3.20435,300,289,0.963333,0.925926,0.619403,0.48096,0.354268,0.291667,0.25708,0.25708,0.25708,0.25708,0.340942
+168s,4.096,8,10,protocol,7.5,240,862,3.59167,374,371,0.991979,0.942053,0.650893,0.526734,0.393629,0.3375,0.285658,0.285658,0.285658,0.285658,0.340168
+169s,4.096,8,10,protocol,7.5,240,923,3.84583,400,399,0.9975,0.959701,0.698741,0.578555,0.409378,0.355444,0.303516,0.303516,0.303516,0.303516,0.339765
+170s,2.048,4,10,protocol,7.5,240,903,3.7625,414,410,0.990338,0.968661,0.676106,0.556041,0.40552,0.346014,0.297508,0.297508,0.297508,0.297508,0.339304
+171s,2.048,4,10,protocol,7.5,240,851,3.54583,444,434,0.977477,0.936111,0.671642,0.517613,0.38176,0.326827,0.27907,0.27907,0.27907,0.27907,0.339337
+172s,2.048,4,10,protocol,7.5,240,903,3.7625,496,495,0.997984,0.960227,0.710626,0.525983,0.410636,0.343893,0.289861,0.289861,0.289861,0.289861,0.33889
+173s,2.048,4,10,protocol,7.5,240,925,3.85417,518,515,0.994208,0.976331,0.781563,0.533516,0.435268,0.366886,0.308179,0.308179,0.308179,0.308179,0.338799
+174s,2.048,4,10,protocol,7.5,240,909,3.7875,508,498,0.980315,0.964885,0.76004,0.522069,0.426719,0.360476,0.303772,0.303772,0.303772,0.303772,0.338365
+175s,3.584,7,10,protocol,7.5,240,895,3.72917,468,460,0.982906,0.970948,0.75,0.512397,0.417978,0.358037,0.303797,0.303797,0.303797,0.303797,0.33813
+176s,4.096,8,10,protocol,7.5,240,892,3.71667,422,416,0.985782,0.950301,0.746,0.515906,0.423383,0.360735,0.312395,0.312395,0.312395,0.312395,0.337694
+177s,4.096,8,10,protocol,7.5,240,881,3.67083,374,366,0.97861,0.917933,0.691358,0.524496,0.408989,0.352372,0.312045,0.312045,0.312045,0.312045,0.33735
+178s,4.096,8,10,protocol,7.5,240,926,3.85833,346,338,0.976879,0.950151,0.73062,0.564371,0.434332,0.366019,0.322498,0.322498,0.322498,0.322498,0.336679
+179s,4.096,8,10,protocol,7.5,240,893,3.72083,316,311,0.984177,0.911672,0.736948,0.541298,0.433806,0.356311,0.315292,0.315292,0.315292,0.315292,0.336341
+180s,4.096,8,10,protocol,7.5,240,910,3.79167,294,293,0.996599,0.93871,0.759259,0.542647,0.44351,0.357212,0.317283,0.317283,0.317283,0.317283,0.33564
+181s,4.096,8,10,protocol,7.5,240,879,3.6625,314,313,0.996815,0.951613,0.737006,0.52753,0.453905,0.340538,0.298904,0.298904,0.298904,0.298904,0.335384
+182s,4.096,8,10,protocol,7.5,240,805,3.35417,340,332,0.976471,0.945423,0.681237,0.487043,0.434103,0.308845,0.271453,0.271453,0.271453,0.271453,0.334704
+183s,4.096,8,10,protocol,7.5,240,740,3.08333,356,350,0.983146,0.976654,0.618026,0.447205,0.395604,0.285149,0.243243,0.243243,0.243243,0.243243,0.334367
+184s,2.048,4,10,protocol,7.5,240,673,2.80417,428,424,0.990654,0.992,0.615839,0.407031,0.357339,0.259721,0.221702,0.221702,0.221702,0.221702,0.333914
+185s,2.048,4,10,protocol,7.5,240,667,2.77917,440,440,1,1,0.617284,0.390625,0.338753,0.25025,0.215332,0.215332,0.215332,0.215332,0.33378
+186s,2.048,4,10,protocol,7.5,240,670,2.79167,456,455,0.997807,0.998,0.690411,0.39375,0.332454,0.268657,0.218087,0.218087,0.218087,0.218087,0.333449
+187s,2.048,4,10,protocol,7.5,250,724,2.896,508,506,0.996063,0.996429,0.797003,0.419957,0.346975,0.29771,0.236459,0.236459,0.236459,0.236459,0.333289
+188s,2.048,4,10,protocol,7.5,280,874,3.12143,580,580,1,0.985215,0.892553,0.513464,0.408074,0.352225,0.285374,0.285374,0.285374,0.285374,0.332744
+189s,2.56,5,10,protocol,7.5,280,898,3.20714,578,576,0.99654,0.993056,0.93573,0.527317,0.398793,0.352917,0.288255,0.288255,0.288255,0.288255,0.332479
+190s,2.048,4,10,protocol,7.5,280,815,2.91071,584,576,0.986301,0.987705,0.841649,0.46356,0.355963,0.319342,0.259272,0.259272,0.259272,0.259272,0.331997
+191s,2.048,4,10,protocol,7.5,280,820,2.92857,516,516,1,0.988,0.797546,0.463734,0.357798,0.312751,0.268226,0.268226,0.268226,0.268226,0.33188
+192s,2.048,4,10,protocol,7.5,280,806,2.87857,500,496,0.992,0.975477,0.766,0.464242,0.35463,0.302289,0.258871,0.258871,0.258871,0.258871,0.331412
+193s,2.048,4,10,protocol,7.5,280,804,2.87143,476,473,0.993697,0.974734,0.765469,0.460384,0.356744,0.297287,0.252968,0.252968,0.252968,0.252968,0.331025
+194s,2.048,4,10,protocol,7.5,280,813,2.90357,440,440,1,0.967877,0.73659,0.451291,0.359346,0.294185,0.254636,0.254636,0.254636,0.254636,0.330302
+195s,2.048,4,10,protocol,7.5,280,792,2.82857,440,440,1,0.963315,0.678245,0.421591,0.348684,0.282882,0.243918,0.243918,0.243918,0.243918,0.329865
+196s,2.048,4,10,protocol,7.5,280,794,2.83571,440,440,1,0.94,0.688192,0.418631,0.352219,0.281935,0.246205,0.246205,0.246205,0.246205,0.329248
+197s,2.048,4,10,protocol,7.5,280,803,2.86786,448,448,1,0.944293,0.718631,0.41768,0.351628,0.278967,0.249012,0.249012,0.249012,0.249012,0.328805
+198s,2.048,4,10,protocol,7.5,280,809,2.88929,472,469,0.993644,0.918367,0.677936,0.418681,0.358757,0.278917,0.252485,0.252485,0.252485,0.252485,0.328107
+199s,2.048,4,10,protocol,7.5,280,892,3.18571,484,484,1,0.975196,0.718858,0.449189,0.395714,0.303285,0.274257,0.274257,0.274257,0.274257,0.327675
+200s,2.048,4,10,protocol,7.5,280,936,3.34286,530,530,1,0.970812,0.756522,0.478022,0.408451,0.326577,0.283572,0.283572,0.283572,0.283572,0.326997
+201s,2.048,4,10,protocol,7.5,280,960,3.42857,568,568,1,0.982759,0.766323,0.503386,0.411439,0.333832,0.287001,0.287001,0.287001,0.287001,0.326635
+202s,2.048,4,10,protocol,7.5,280,980,3.5,624,616,0.987179,0.973366,0.761667,0.527714,0.410602,0.337768,0.294839,0.294839,0.294839,0.294839,0.325977
+203s,2.048,4,10,protocol,7.5,280,1006,3.59286,640,639,0.998437,0.994076,0.791209,0.541667,0.411248,0.346667,0.302717,0.302717,0.302717,0.302717,0.325582
+204s,2.048,4,10,protocol,7.5,280,1004,3.58571,642,642,1,0.994305,0.788851,0.527982,0.401548,0.345926,0.309476,0.309476,0.309476,0.309476,0.324943
+205s,2.048,4,10,protocol,7.5,280,961,3.43214,682,674,0.98827,0.966216,0.740066,0.502812,0.37188,0.333831,0.304082,0.304082,0.304082,0.304082,0.324563
+206s,2.048,4,10,protocol,7.5,280,967,3.45357,681,673,0.988253,0.974444,0.734477,0.492333,0.376781,0.335198,0.31,0.31,0.31,0.31,0.324027
+207s,2.048,4,10,protocol,7.5,280,1001,3.575,672,665,0.989583,0.979303,0.732227,0.499461,0.389823,0.350605,0.317683,0.317683,0.317683,0.317683,0.32366
+208s,2.048,4,10,protocol,7.5,280,1045,3.73214,632,620,0.981013,0.967707,0.766667,0.519355,0.405542,0.369549,0.330822,0.330822,0.330822,0.330822,0.323056
+209s,2.048,4,10,protocol,7.5,290,1077,3.71379,646,641,0.99226,0.967774,0.765745,0.534298,0.422816,0.385538,0.331891,0.331891,0.331891,0.331891,0.32268
+210s,2.048,4,10,protocol,7.5,290,1072,3.69655,626,622,0.99361,0.959325,0.734513,0.527542,0.42931,0.386047,0.325703,0.325703,0.325703,0.325703,0.322071
+211s,2.048,4,10,protocol,7.5,290,1087,3.74828,640,629,0.982812,0.947896,0.734738,0.526563,0.442644,0.389746,0.332566,0.332566,0.332566,0.332566,0.321732
+212s,2.048,4,10,protocol,7.5,290,1099,3.78966,632,618,0.977848,0.949692,0.744696,0.529657,0.452847,0.390637,0.335089,0.335089,0.335089,0.335089,0.321141
+213s,2.048,4,10,protocol,7.5,290,1110,3.82759,654,651,0.995413,0.961303,0.761095,0.528234,0.447781,0.389478,0.336715,0.336715,0.336715,0.336715,0.320799
+214s,2.048,4,10,protocol,7.5,290,1088,3.75172,624,624,1,0.973958,0.736457,0.512742,0.432502,0.374395,0.325145,0.325145,0.325145,0.325145,0.320223
+215s,2.048,4,10,protocol,7.5,290,1071,3.6931,618,613,0.991909,0.961454,0.727672,0.50202,0.425514,0.369792,0.324624,0.324624,0.324624,0.324624,0.319898
+216s,2.048,4,10,protocol,7.5,300,1102,3.67333,656,653,0.995427,0.948104,0.739597,0.513035,0.426471,0.380788,0.335771,0.335771,0.335771,0.335771,0.319385
+217s,4.096,8,10,protocol,7.5,300,1029,3.43,660,649,0.983333,0.937107,0.7,0.485377,0.395465,0.353608,0.313147,0.313147,0.313147,0.313147,0.319075
+218s,4.096,8,10,protocol,7.5,300,984,3.28,650,633,0.973846,0.941834,0.698864,0.463713,0.376147,0.329317,0.298544,0.298544,0.298544,0.298544,0.318523
+219s,4.096,8,10,protocol,7.5,300,892,2.97333,628,617,0.982484,0.919101,0.671687,0.407865,0.328909,0.298128,0.26611,0.26611,0.26611,0.26611,0.318214
+220s,4.096,8,10,protocol,7.5,300,862,2.87333,580,573,0.987931,0.928571,0.676609,0.392175,0.315289,0.285242,0.252047,0.252047,0.252047,0.252047,0.317678
+221s,4.096,8,10,protocol,7.5,300,856,2.85333,534,524,0.981273,0.930622,0.705688,0.394107,0.312523,0.282136,0.245413,0.245413,0.245413,0.245413,0.317409
+222s,4.096,8,10,protocol,7.5,300,843,2.81,504,499,0.990079,0.95125,0.710793,0.402195,0.304772,0.273346,0.240308,0.240308,0.240308,0.240308,0.316886
+223s,4.096,8,10,protocol,7.5,300,833,2.77667,500,498,0.996,0.953728,0.705932,0.39404,0.304905,0.268018,0.234648,0.234648,0.234648,0.234648,0.316601
+224s,4.096,8,10,protocol,7.5,300,885,2.95,500,500,1,0.968992,0.752551,0.418242,0.327293,0.284018,0.24776,0.24776,0.24776,0.24776,0.316092
+225s,4.096,8,10,protocol,7.5,300,849,2.83,500,496,0.992,0.95297,0.742782,0.403517,0.31774,0.270727,0.238215,0.238215,0.238215,0.238215,0.315815
+226s,4.096,8,10,protocol,7.5,300,842,2.80667,548,540,0.985401,0.952555,0.751786,0.402871,0.315592,0.267982,0.231956,0.231956,0.231956,0.231956,0.315364
+227s,4.096,8,10,protocol,7.5,300,860,2.86667,542,537,0.990775,0.971429,0.793358,0.417881,0.322339,0.274848,0.235616,0.235616,0.235616,0.235616,0.315099
+228s,4.096,8,10,protocol,7.5,300,852,2.84,570,566,0.992982,0.959524,0.814532,0.405714,0.315556,0.273427,0.235229,0.235229,0.235229,0.235229,0.314615
+229s,4.096,8,10,protocol,7.5,300,859,2.86333,580,580,1,0.984412,0.880123,0.413776,0.320882,0.276206,0.239944,0.239944,0.239944,0.239944,0.314354
+230s,4.096,8,10,protocol,7.5,300,859,2.86333,564,564,1,0.994159,0.865927,0.415779,0.326368,0.275674,0.239076,0.239076,0.239076,0.239076,0.313882
+231s,4.096,8,10,protocol,7.5,300,843,2.81,580,580,1,0.97619,0.796786,0.412023,0.322741,0.261964,0.234558,0.234558,0.234558,0.234558,0.313648
+232s,4.096,8,10,protocol,7.5,300,899,2.99667,580,578,0.996552,0.978622,0.852941,0.42526,0.352549,0.27954,0.248755,0.248755,0.248755,0.248755,0.313188
+233s,4.096,8,10,protocol,7.5,300,951,3.17,572,572,1,0.991686,0.893797,0.456772,0.377082,0.298493,0.259978,0.259978,0.259978,0.259978,0.312933
+234s,4.096,8,10,protocol,7.5,300,959,3.19667,587,582,0.991482,0.952083,0.8766,0.481426,0.387945,0.300156,0.262022,0.262022,0.262022,0.262022,0.312484
+235s,5.632,11,10,protocol,7.5,300,1003,3.34333,540,534,0.988889,0.97003,0.910163,0.516478,0.400239,0.310334,0.276156,0.276156,0.276156,0.276156,0.312249
+236s,6.144,12,10,protocol,7.5,300,1001,3.33667,542,538,0.99262,0.966,0.884276,0.510714,0.394405,0.31399,0.275151,0.275151,0.275151,0.275151,0.311881
+237s,6.144,12,10,protocol,7.5,300,989,3.29667,588,588,1,0.973896,0.857019,0.506141,0.389677,0.307525,0.271107,0.271107,0.271107,0.271107,0.311655
+238s,6.144,12,10,protocol,7.5,300,1013,3.37667,610,602,0.986885,0.974948,0.873276,0.518424,0.408468,0.316365,0.276776,0.276776,0.276776,0.276776,0.311238
+239s,6.144,12,10,protocol,7.5,300,996,3.32,632,625,0.988924,0.961874,0.858621,0.481625,0.404878,0.313011,0.27438,0.27438,0.27438,0.27438,0.311017
+240s,6.144,12,10,protocol,7.5,300,948,3.16,626,609,0.972843,0.940503,0.822917,0.435662,0.388843,0.293862,0.263333,0.263333,0.263333,0.263333,0.31061
+241s,6.144,12,10,protocol,7.5,300,936,3.12,612,606,0.990196,0.980324,0.820333,0.418605,0.36139,0.289425,0.26,0.26,0.26,0.26,0.310444
+242s,6.144,12,10,protocol,7.5,300,863,2.87667,596,593,0.994966,0.967391,0.761023,0.381858,0.330651,0.272498,0.241466,0.241466,0.241466,0.241466,0.310046
+243s,6.144,12,10,protocol,7.5,300,875,2.91667,609,608,0.998358,0.985258,0.754961,0.380435,0.326736,0.277866,0.247175,0.247175,0.247175,0.247175,0.309841
+244s,6.144,12,10,protocol,7.5,300,865,2.88333,648,648,1,0.99005,0.730574,0.375108,0.324944,0.279212,0.244488,0.244488,0.244488,0.244488,0.309452
+245s,6.144,12,10,protocol,7.5,300,884,2.94667,660,654,0.990909,0.9825,0.767361,0.374576,0.329851,0.285161,0.251279,0.251279,0.251279,0.251279,0.309254
+246s,6.144,12,10,protocol,7.5,300,918,3.06,660,655,0.992424,0.96729,0.81383,0.391304,0.344595,0.297087,0.262286,0.262286,0.262286,0.262286,0.308903
+247s,6.144,12,10,protocol,7.5,300,951,3.17,660,660,1,0.979545,0.795151,0.393952,0.3627,0.308366,0.271714,0.271714,0.271714,0.271714,0.308716
+248s,6.144,12,10,protocol,7.5,300,957,3.19,680,675,0.992647,0.982955,0.7975,0.397756,0.365267,0.316259,0.277875,0.277875,0.277875,0.277875,0.308343
+249s,6.144,12,10,protocol,7.5,300,976,3.25333,688,683,0.992733,0.964361,0.796085,0.415142,0.366366,0.325333,0.288757,0.288757,0.288757,0.288757,0.308165
+250s,6.144,12,10,protocol,7.5,300,1031,3.43667,700,700,1,0.954819,0.804212,0.444397,0.373551,0.345973,0.303592,0.303592,0.303592,0.303592,0.3078
+251s,6.144,12,10,protocol,7.5,300,1027,3.42333,738,733,0.993225,0.959,0.783969,0.442672,0.378687,0.344631,0.302059,0.302059,0.302059,0.302059,0.30766
+252s,6.144,12,10,protocol,7.5,300,1026,3.42,752,752,1,0.944549,0.765672,0.442241,0.382836,0.344295,0.303371,0.303371,0.303371,0.303371,0.307303
+253s,8.192,16,10,protocol,7.5,300,1054,3.51333,778,778,1,0.950909,0.786567,0.45431,0.39124,0.356081,0.315569,0.315569,0.315569,0.315569,0.307155
+254s,8.192,16,10,protocol,7.5,300,1098,3.66,792,791,0.998737,0.946364,0.819403,0.473276,0.41749,0.373215,0.332727,0.332727,0.332727,0.332727,0.306816
+255s,9.728,19,10,protocol,7.5,300,1126,3.75333,792,778,0.982323,0.947509,0.840299,0.488715,0.426515,0.38092,0.343188,0.343188,0.343188,0.343188,0.306716
+256s,10.24,20,10,protocol,7.5,300,1157,3.85667,780,780,1,0.961207,0.846999,0.49067,0.438258,0.393003,0.356219,0.356219,0.356219,0.356219,0.306486
+257s,10.24,20,10,protocol,7.5,300,1163,3.87667,780,771,0.988462,0.956897,0.809889,0.488655,0.44053,0.399656,0.36208,0.36208,0.36208,0.36208,0.306372
+258s,10.24,20,10,protocol,7.5,300,1162,3.87333,780,771,0.988462,0.956926,0.806944,0.487825,0.440152,0.404878,0.367722,0.367722,0.367722,0.367722,0.306085
+259s,10.24,20,10,protocol,7.5,300,1173,3.91,824,817,0.991505,0.971186,0.807851,0.489158,0.449081,0.413319,0.368405,0.368405,0.368405,0.368405,0.305977
+260s,10.24,20,10,protocol,7.5,300,1156,3.85333,878,875,0.996583,0.947458,0.791781,0.474938,0.442912,0.408192,0.361476,0.361476,0.361476,0.361476,0.305701
+261s,10.24,20,10,protocol,7.5,300,1227,4.09,800,799,0.99875,0.958475,0.845041,0.502869,0.465831,0.432042,0.388906,0.388906,0.388906,0.388906,0.305624
+262s,10.24,20,10,protocol,7.5,300,1186,3.95333,780,778,0.997436,0.916935,0.823611,0.486066,0.452672,0.417606,0.369355,0.369355,0.369355,0.369355,0.305348
+263s,10.24,20,10,protocol,7.5,300,1193,3.97667,780,774,0.992308,0.93125,0.828472,0.487735,0.451894,0.416841,0.368665,0.368665,0.368665,0.368665,0.305249
+264s,10.24,20,10,protocol,7.5,300,1197,3.99,780,780,1,0.939297,0.825517,0.487775,0.453753,0.407698,0.365831,0.365831,0.365831,0.365831,0.304984
+265s,10.24,20,10,protocol,7.5,300,1210,4.03333,810,804,0.992593,0.953255,0.835635,0.495902,0.461832,0.411565,0.368902,0.368902,0.368902,0.368902,0.304888
+266s,10.24,20,10,protocol,7.5,300,1177,3.92333,880,874,0.993182,0.965254,0.817361,0.481194,0.449237,0.40034,0.360159,0.360159,0.360159,0.360159,0.304652
+267s,10.24,20,10,protocol,7.5,300,1163,3.87667,872,871,0.998853,0.966949,0.807639,0.472764,0.435907,0.396117,0.356748,0.356748,0.356748,0.356748,0.30456
+268s,10.24,20,10,protocol,7.5,300,1158,3.86,860,854,0.993023,0.954237,0.846491,0.473039,0.422628,0.390425,0.355215,0.355215,0.355215,0.355215,0.304305
+269s,10.24,20,10,protocol,7.5,300,1168,3.89333,860,860,1,0.962185,0.858824,0.478689,0.426589,0.394595,0.358282,0.358282,0.358282,0.358282,0.304216
+270s,10.24,20,10,protocol,7.5,300,1162,3.87333,860,844,0.981395,0.953333,0.83477,0.47623,0.427206,0.392568,0.356442,0.356442,0.356442,0.356442,0.30396
+271s,10.24,20,10,protocol,7.5,300,1164,3.88,860,852,0.990698,0.956811,0.808333,0.467846,0.429838,0.393243,0.357055,0.357055,0.357055,0.357055,0.303891
+272s,10.24,20,10,protocol,7.5,300,1175,3.91667,860,860,1,0.965,0.815972,0.458984,0.435185,0.396691,0.361761,0.361761,0.361761,0.361761,0.30364
+273s,10.24,20,10,protocol,7.5,300,1168,3.89333,860,860,1,0.9625,0.811111,0.45625,0.427839,0.388686,0.360494,0.360494,0.360494,0.360494,0.303557
+274s,10.24,20,10,protocol,7.5,300,1164,3.88,872,859,0.985092,0.95477,0.801653,0.452918,0.421129,0.378168,0.359259,0.359259,0.359259,0.359259,0.30331
+275s,10.24,20,10,protocol,7.5,300,1158,3.86,866,858,0.990762,0.94918,0.765873,0.448837,0.422628,0.378431,0.357407,0.357407,0.357407,0.357407,0.30323
+276s,10.24,20,10,protocol,7.5,300,1185,3.95,860,858,0.997674,0.960656,0.765504,0.459302,0.432482,0.387255,0.365741,0.365741,0.365741,0.365741,0.303028
+277s,10.24,20,10,protocol,7.5,300,1258,4.19333,862,850,0.986079,0.953279,0.80641,0.487597,0.459124,0.411111,0.390199,0.390199,0.390199,0.390199,0.302951
+278s,10.24,20,10,protocol,7.5,300,1299,4.33,880,859,0.976136,0.961851,0.830563,0.505054,0.474088,0.42928,0.403416,0.403416,0.403416,0.403416,0.302712
+279s,10.24,20,10,protocol,7.5,300,1333,4.44333,870,870,1,0.956422,0.843671,0.51289,0.486496,0.442857,0.413975,0.413975,0.413975,0.413975,0.302643
+280s,10.24,20,10,protocol,7.5,300,1342,4.47333,872,860,0.986239,0.956154,0.849367,0.508333,0.489781,0.447333,0.415737,0.415737,0.415737,0.415737,0.302409
+281s,10.24,20,10,protocol,7.5,300,1321,4.40333,880,879,0.998864,0.934498,0.836076,0.500379,0.482117,0.440333,0.409105,0.409105,0.409105,0.409105,0.302365
+282s,10.24,20,10,protocol,7.5,300,1375,4.58333,926,926,1,0.963847,0.870253,0.520833,0.503663,0.458333,0.431847,0.431847,0.431847,0.431847,0.302135
+283s,10.24,20,10,protocol,7.5,300,1343,4.47667,980,980,1,0.947101,0.857599,0.512595,0.488897,0.447667,0.41995,0.41995,0.41995,0.41995,0.302069
+284s,10.24,20,10,protocol,7.5,300,1347,4.49,980,980,1,0.953623,0.865681,0.514122,0.475972,0.448402,0.415228,0.415228,0.415228,0.415228,0.301843
+285s,10.24,20,10,protocol,7.5,300,1353,4.51,962,962,1,0.954871,0.878571,0.516412,0.469792,0.448013,0.404605,0.404605,0.404605,0.404605,0.301779
+286s,10.24,20,10,protocol,7.5,300,1362,4.54,960,953,0.992708,0.960714,0.884416,0.519847,0.472917,0.449505,0.405357,0.405357,0.405357,0.405357,0.301577
+287s,10.24,20,10,protocol,7.5,300,1363,4.54333,960,955,0.994792,0.962143,0.885065,0.525849,0.473264,0.445425,0.405655,0.405655,0.405655,0.405655,0.301521
+288s,10.24,20,10,protocol,7.5,300,1354,4.51333,960,951,0.990625,0.957857,0.879221,0.524806,0.470139,0.434531,0.403216,0.403216,0.403216,0.403216,0.301302
+289s,10.24,20,10,protocol,7.5,300,1365,4.55,960,956,0.995833,0.962857,0.886364,0.52907,0.47134,0.425234,0.408683,0.408683,0.408683,0.408683,0.301242
+290s,10.24,20,10,protocol,7.5,300,1343,4.47667,960,951,0.990625,0.955714,0.872078,0.520543,0.461829,0.414506,0.402096,0.402096,0.402096,0.402096,0.301038
+291s,10.24,20,10,protocol,7.5,300,1326,4.42,968,968,1,0.947143,0.861039,0.513953,0.448731,0.409259,0.397006,0.397006,0.397006,0.397006,0.300984
+292s,10.24,20,10,protocol,7.5,300,1305,4.35,1034,1026,0.992263,0.932143,0.847403,0.505814,0.440878,0.402778,0.390719,0.390719,0.390719,0.390719,0.300773
+293s,10.24,20,10,protocol,7.5,300,1347,4.49,1040,1040,1,0.962143,0.876953,0.517281,0.452013,0.415741,0.403293,0.403293,0.403293,0.403293,0.300716
+294s,10.24,20,10,protocol,7.5,300,1345,4.48333,1040,1023,0.983654,0.960714,0.884868,0.498517,0.442434,0.416925,0.402695,0.402695,0.402695,0.402695,0.300513
+295s,10.24,20,10,protocol,7.5,300,1314,4.38,1026,1002,0.976608,0.938571,0.864474,0.466951,0.432237,0.408075,0.393413,0.393413,0.393413,0.393413,0.300458
+296s,10.24,20,10,protocol,7.5,300,1351,4.50333,1020,1020,1,0.965,0.888816,0.479078,0.444408,0.419565,0.404491,0.404491,0.404491,0.404491,0.300259
+297s,10.24,20,10,protocol,7.5,300,1347,4.49,1020,1020,1,0.962143,0.886184,0.47766,0.443092,0.419365,0.403293,0.403293,0.403293,0.403293,0.300205
+298s,10.24,20,10,protocol,7.5,300,1332,4.44,1020,1012,0.992157,0.951429,0.850575,0.470007,0.438158,0.41625,0.401205,0.401205,0.401205,0.401205,0.300003
+299s,10.24,20,10,protocol,7.5,300,1329,4.43,1020,1012,0.992157,0.949286,0.82037,0.455137,0.437171,0.415312,0.400301,0.400301,0.400301,0.400301,0.299957
+300s,10.24,20,10,protocol,7.5,300,1329,4.43,1020,1005,0.985294,0.942857,0.82037,0.455137,0.437171,0.415312,0.400301,0.400301,0.400301,0.400301,0.299764
,,,,,,,,,,,0.52795727,,,,,,,,,,
