SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+132s,2.048,4,10,protocol,7.5,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,7483.19
+133s,7.168,14,10,protocol,7.5,200,0,0,196,0,0,0,0,0,0,0,0,0,0,0,7109.24
+134s,2.56,5,10,protocol,7.5,200,0,0,168,0,0,0,0,0,0,0,0,0,0,0,6941.59
+135s,3.584,7,10,protocol,7.5,200,0,0,150,0,0,0,0,0,0,0,0,0,0,0,6900.79
+136s,3.584,7,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,6791.1
+137s,4.096,8,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,6714.76
+138s,4.096,8,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,6659.9
+139s,4.096,8,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,6583.16
+140s,3.072,6,10,protocol,7.5,200,0,0,150,0,0,0,0,0,0,0,0,0,0,0,6500.51
+141s,2.048,4,10,protocol,7.5,200,0,0,164,0,0,0,0,0,0,0,0,0,0,0,6467.7
+142s,2.048,4,10,protocol,7.5,200,0,0,180,0,0,0,0,0,0,0,0,0,0,0,6453.98
+143s,2.048,4,10,protocol,7.5,200,0,0,210,0,0,0,0,0,0,0,0,0,0,0,6434.8
+144s,2.048,4,10,protocol,7.5,200,0,0,240,0,0,0,0,0,0,0,0,0,0,0,6273.38
+145s,2.048,4,10,protocol,7.5,200,0,0,254,0,0,0,0,0,0,0,0,0,0,0,6219.4
+146s,5.632,11,10,protocol,7.5,200,0,0,270,0,0,0,0,0,0,0,0,0,0,0,6069.8
+147s,4.096,8,10,protocol,7.5,210,0,0,322,0,0,0,0,0,0,0,0,0,0,0,6019
+148s,4.096,8,10,protocol,7.5,210,0,0,350,0,0,0,0,0,0,0,0,0,0,0,5979.63
+149s,4.096,8,10,protocol,7.5,210,0,0,348,0,0,0,0,0,0,0,0,0,0,0,5916.73
+150s,4.096,8,10,protocol,7.5,210,0,0,330,0,0,0,0,0,0,0,0,0,0,0,5883.72
+151s,4.096,8,10,protocol,7.5,210,0,0,320,0,0,0,0,0,0,0,0,0,0,0,5850.97
+152s,4.096,8,10,protocol,7.5,210,0,0,300,0,0,0,0,0,0,0,0,0,0,0,5816.85
+153s,4.096,8,10,protocol,7.5,210,0,0,298,0,0,0,0,0,0,0,0,0,0,0,5788.39
+154s,4.096,8,10,protocol,7.5,210,0,0,318,0,0,0,0,0,0,0,0,0,0,0,5762.16
+155s,4.096,8,10,protocol,7.5,210,0,0,322,0,0,0,0,0,0,0,0,0,0,0,5736.17
+156s,4.096,8,10,protocol,7.5,210,0,0,318,0,0,0,0,0,0,0,0,0,0,0,5696.49
+157s,4.096,8,10,protocol,7.5,220,0,0,268,0,0,0,0,0,0,0,0,0,0,0,5660.73
+158s,4.096,8,10,protocol,7.5,220,0,0,228,0,0,0,0,0,0,0,0,0,0,0,5638.09
+159s,4.096,8,10,protocol,7.5,220,0,0,220,0,0,0,0,0,0,0,0,0,0,0,5605.46
+160s,4.096,8,10,protocol,7.5,230,0,0,232,0,0,0,0,0,0,0,0,0,0,0,5579.51
+161s,4.096,8,10,protocol,7.5,230,0,0,264,0,0,0,0,0,0,0,0,0,0,0,5537.35
