SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+94s,2.048,4,10,protocol,7.5,140,692,4.94286,60,60,1,0.916996,0.748588,0.441667,0.394933,0.304598,0.259804,0.259804,0.259804,0.259804,0.423932
+95s,2.048,4,10,protocol,7.5,150,745,4.96667,86,84,0.976744,0.922764,0.67381,0.445669,0.401989,0.298523,0.262037,0.262037,0.262037,0.262037,0.422908
+96s,2.048,4,10,protocol,7.5,150,776,5.17333,110,103,0.936364,0.90625,0.606522,0.435937,0.3875,0.293684,0.250449,0.250449,0.250449,0.250449,0.421232
+97s,2.048,4,10,protocol,7.5,150,829,5.52667,132,129,0.977273,0.958333,0.716667,0.5375,0.476454,0.353909,0.301754,0.301754,0.301754,0.301754,0.420298
+98s,2.048,4,10,protocol,7.5,150,871,5.80667,124,123,0.991935,0.975862,0.78903,0.589905,0.496021,0.375502,0.324653,0.324653,0.324653,0.324653,0.418038
+99s,0.512,1,10,protocol,7.5,150,886,5.90667,135,128,0.948148,0.922222,0.839207,0.614516,0.47625,0.373529,0.322881,0.322881,0.322881,0.322881,0.417597
+100s,0,0,10,protocol,7.5,150,898,5.98667,100,100,1,0.980663,0.811715,0.610063,0.46747,0.373077,0.332192,0.332192,0.332192,0.332192,0.415991
+101s,0,0,10,protocol,7.5,150,870,5.8,140,140,1,0.981579,0.822917,0.602134,0.442825,0.374763,0.342288,0.342288,0.342288,0.342288,0.416233
+102s,0,0,10,protocol,7.5,150,815,5.43333,160,160,1,0.997368,0.846939,0.625,0.447198,0.391509,0.365317,0.365317,0.365317,0.365317,0.414692
+103s,1.536,3,10,protocol,7.5,150,830,5.53333,164,164,1,0.976064,0.774131,0.596726,0.426596,0.371296,0.355496,0.355496,0.355496,0.355496,0.414167
+104s,2.048,4,10,protocol,7.5,150,871,5.80667,179,179,1,0.988764,0.772727,0.583791,0.446429,0.393519,0.369565,0.369565,0.369565,0.369565,0.412267
+105s,2.048,4,10,protocol,7.5,160,873,5.45625,160,159,0.99375,0.95082,0.744828,0.53202,0.427723,0.36,0.321908,0.321908,0.321908,0.321908,0.411482
+106s,0,0,10,protocol,7.5,160,814,5.0875,134,132,0.985075,0.965426,0.724138,0.5,0.404624,0.349418,0.29872,0.29872,0.29872,0.29872,0.410315
+107s,0,0,10,protocol,7.5,160,784,4.9,127,125,0.984252,0.936306,0.619672,0.43649,0.357278,0.30832,0.266197,0.266197,0.266197,0.266197,0.409994
+108s,0,0,10,protocol,7.5,160,812,5.075,156,153,0.980769,0.945783,0.607903,0.43573,0.375235,0.318471,0.276625,0.276625,0.276625,0.276625,0.408529
+109s,0,0,10,protocol,7.5,160,775,4.84375,160,156,0.975,0.902857,0.542274,0.385093,0.344444,0.28012,0.254795,0.254795,0.254795,0.254795,0.40825
