SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+109s,0,0,10,protocol,7.5,160,769,4.80625,160,157,0.98125,0.902857,0.534985,0.379917,0.339815,0.276355,0.25137,0.25137,0.25137,0.25137,0.46342
+110s,3.072,6,10,protocol,7.5,160,732,4.575,160,152,0.95,0.83237,0.495798,0.3583,0.325967,0.255043,0.242466,0.242466,0.242466,0.242466,0.463189
+111s,2.048,4,10,protocol,7.5,160,863,5.39375,156,151,0.967949,0.89863,0.561662,0.419,0.374776,0.301873,0.286986,0.286986,0.286986,0.286986,0.462405
+112s,2.048,4,10,protocol,7.5,160,798,4.9875,142,138,0.971831,0.883333,0.564987,0.42515,0.359797,0.308696,0.291581,0.291581,0.291581,0.291581,0.4622
+113s,2.048,4,10,protocol,7.5,160,857,5.35625,186,184,0.989247,0.914747,0.622951,0.45509,0.379368,0.330435,0.310627,0.310627,0.310627,0.310627,0.46198
+114s,4.096,8,10,protocol,7.5,160,902,5.6375,244,235,0.963115,0.940594,0.686813,0.50813,0.403226,0.36075,0.342466,0.342466,0.342466,0.342466,0.461458
+115s,2.048,4,10,protocol,7.5,160,915,5.71875,314,306,0.974522,0.943723,0.727679,0.479412,0.379658,0.349286,0.338174,0.338174,0.338174,0.338174,0.461087
+116s,2.048,4,10,protocol,7.5,160,955,5.96875,342,341,0.997076,0.973684,0.831731,0.514881,0.394377,0.366008,0.359917,0.359917,0.359917,0.359917,0.460617
+117s,2.048,4,10,protocol,7.5,160,948,5.925,358,341,0.952514,0.954,0.846026,0.512024,0.392473,0.359859,0.353878,0.353878,0.353878,0.353878,0.460132
+118s,2.048,4,10,protocol,7.5,160,965,6.03125,390,390,1,0.994,0.81307,0.55383,0.416019,0.376761,0.371528,0.371528,0.371528,0.371528,0.45963
+119s,2.048,4,10,protocol,7.5,160,1011,6.31875,404,402,0.99505,0.981707,0.807122,0.584946,0.423017,0.383099,0.377778,0.377778,0.377778,0.377778,0.459121
+120s,2.048,4,10,protocol,7.5,160,1036,6.475,412,407,0.987864,0.969008,0.882353,0.652174,0.472813,0.424929,0.411523,0.411523,0.411523,0.411523,0.458614
+121s,5.12,10,10,protocol,7.5,160,1079,6.74375,372,372,1,0.978799,0.941088,0.69843,0.541739,0.438732,0.424098,0.424098,0.424098,0.424098,0.466964
+122s,4.096,8,10,protocol,7.5,160,1058,6.6125,348,345,0.991379,0.976351,0.902367,0.731415,0.54955,0.4314,0.412162,0.412162,0.412162,0.412162,0.469965
+123s,2.048,4,10,protocol,7.5,160,1029,6.43125,318,318,1,0.996667,0.912463,0.774559,0.559091,0.440544,0.418367,0.418367,0.418367,0.418367,0.470567
+124s,2.048,4,10,protocol,7.5,160,1042,6.5125,321,319,0.993769,0.971429,0.887574,0.808625,0.572519,0.460829,0.413223,0.413223,0.413223,0.413223,0.470458
+125s,2.048,4,10,protocol,7.5,160,1005,6.28125,288,288,1,0.934211,0.843373,0.742706,0.561122,0.450523,0.386207,0.386207,0.386207,0.386207,0.470954
+126s,2.048,4,10,protocol,7.5,190,1202,6.32632,320,320,1,0.951473,0.791063,0.667006,0.519841,0.446794,0.358315,0.358315,0.358315,0.358315,0.470347
